<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
08/10/2018,114670,114680,114620,114660
08/10/2018,114650,114760,114640,114740
08/10/2018,114740,114830,114730,114800
08/10/2018,114800,114980,114790,114970
08/10/2018,114950,114980,114850,114940
08/10/2018,114950,114970,114860,114940
08/10/2018,114950,115040,114950,115000
08/10/2018,115000,115000,114860,114890
08/10/2018,114890,114920,114840,114900
08/10/2018,114910,114920,114820,114850
08/10/2018,114850,114960,114830,114890
08/10/2018,114890,114890,114820,114840
08/10/2018,114850,114890,114800,114820
08/10/2018,114830,114840,114740,114790
08/10/2018,114790,114840,114760,114770
08/10/2018,114790,114790,114720,114780
08/10/2018,114780,114850,114780,114820
08/10/2018,114810,114850,114790,114810
08/10/2018,114820,114850,114790,114840
08/10/2018,114830,114840,114780,114780
08/10/2018,114770,114810,114750,114790
08/10/2018,114790,114840,114770,114820
08/10/2018,114800,114820,114780,114800
08/10/2018,114810,114850,114780,114780
08/10/2018,114780,114830,114780,114790
08/10/2018,114800,114820,114670,114710
08/10/2018,114720,114780,114700,114730
08/10/2018,114730,114730,114620,114670
08/10/2018,114670,114710,114650,114670
08/10/2018,114680,114730,114660,114690
08/10/2018,114700,114720,114640,114650
08/10/2018,114650,114790,114610,114760
08/10/2018,114760,114810,114730,114780
08/10/2018,114780,114870,114770,114820
08/10/2018,114810,114860,114800,114830
08/10/2018,114830,114870,114780,114790
08/10/2018,114780,114830,114750,114790
08/10/2018,114790,114800,114500,114510
08/10/2018,114510,114630,114500,114600
08/10/2018,114600,114650,114570,114570
08/10/2018,114570,114600,114520,114520
08/10/2018,114520,114670,114510,114660
08/10/2018,114670,114750,114630,114750
08/10/2018,114760,114800,114730,114790
08/10/2018,114800,114840,114780,114800
08/10/2018,114800,114800,114610,114630
08/10/2018,114640,114720,114640,114710
08/10/2018,114710,114710,114610,114630
08/10/2018,114620,114660,114560,114620
08/10/2018,114610,114700,114600,114680
08/10/2018,114670,114700,114640,114690
08/10/2018,114670,114690,114620,114680
08/10/2018,114680,114700,114590,114620
08/10/2018,114620,114620,114560,114560
08/10/2018,114570,114580,114440,114500
08/10/2018,114500,114500,114370,114400
08/10/2018,114400,114540,114390,114530
08/10/2018,114500,114510,114450,114490
08/10/2018,114490,114540,114480,114530
08/10/2018,114520,114610,114510,114560
08/10/2018,114560,114580,114440,114470
08/10/2018,114470,114490,114420,114480
08/10/2018,114490,114530,114460,114510
08/10/2018,114510,114510,114420,114450
08/10/2018,114440,114440,114380,114390
08/10/2018,114390,114440,114380,114400
08/10/2018,114400,114440,114380,114420
08/10/2018,114420,114460,114390,114460
08/10/2018,114450,114470,114430,114450
08/10/2018,114450,114520,114440,114510
08/10/2018,114500,114510,114470,114470
08/10/2018,114480,114490,114400,114420
08/10/2018,114420,114460,114410,114450
08/10/2018,114430,114460,114390,114460
08/10/2018,114450,114450,114400,114410
08/10/2018,114410,114430,114380,114410
08/10/2018,114420,114440,114390,114420
08/10/2018,114420,114420,114320,114360
08/10/2018,114370,114470,114360,114450
08/10/2018,114450,114550,114410,114510
08/10/2018,114500,114580,114490,114500
08/10/2018,114490,114550,114480,114550
08/10/2018,114540,114570,114490,114530
08/10/2018,114530,114540,114460,114520
08/10/2018,114520,114600,114510,114590
08/10/2018,114580,114670,114570,114600
08/10/2018,114590,114590,114530,114540
08/10/2018,114530,114570,114490,114550
08/10/2018,114540,114580,114520,114520
08/10/2018,114510,114530,114480,114520
08/10/2018,114510,114560,114500,114510
08/10/2018,114500,114550,114500,114550
08/10/2018,114550,114590,114530,114540
08/10/2018,114560,114630,114560,114630
08/10/2018,114630,114660,114600,114600
08/10/2018,114600,114640,114580,114590
08/10/2018,114580,114640,114580,114640
08/10/2018,114630,114630,114580,114590
08/10/2018,114580,114590,114540,114540
08/10/2018,114540,114550,114450,114480
08/10/2018,114490,114540,114470,114500
08/10/2018,114500,114500,114450,114470
08/10/2018,114480,114490,114450,114450
08/10/2018,114460,114460,114350,114370
08/10/2018,114360,114420,114340,114390
08/10/2018,114390,114440,114370,114420
08/10/2018,114420,114490,114400,114490
08/10/2018,114480,114550,114480,114550
08/10/2018,114550,114550,114490,114500
08/10/2018,114510,114570,114500,114560
08/10/2018,114560,114610,114550,114560
08/10/2018,114560,114580,114510,114550
08/10/2018,114550,114550,114490,114530
08/10/2018,114520,114630,114520,114560
08/10/2018,114560,114580,114510,114530
08/10/2018,114520,114560,114510,114560
08/10/2018,114560,114570,114530,114550
08/10/2018,114540,114560,114520,114540
08/10/2018,114530,114530,114510,114530
08/10/2018,114530,114540,114490,114520
08/10/2018,114520,114530,114410,114420
08/10/2018,114420,114530,114420,114470
08/10/2018,114460,114480,114440,114470
08/10/2018,114450,114540,114450,114540
08/10/2018,114530,114580,114500,114560
08/10/2018,114540,114560,114540,114540
08/10/2018,114530,114560,114500,114540
08/10/2018,114540,114600,114540,114580
08/10/2018,114580,114670,114580,114650
08/10/2018,114650,114660,114580,114610
08/10/2018,114610,114670,114580,114600
08/10/2018,114610,114670,114600,114650
08/10/2018,114650,114730,114650,114710
08/10/2018,114710,114740,114610,114610
08/10/2018,114630,114670,114610,114650
08/10/2018,114640,114660,114620,114620
08/10/2018,114610,114630,114600,114620
08/10/2018,114630,114680,114620,114680
08/10/2018,114670,114680,114650,114670
08/10/2018,114670,114680,114650,114670
08/10/2018,114660,114670,114610,114620
08/10/2018,114610,114630,114570,114600
08/10/2018,114590,114620,114570,114580
08/10/2018,114590,114640,114570,114640
08/10/2018,114640,114660,114600,114620
08/10/2018,114620,114680,114610,114680
08/10/2018,114680,114680,114620,114630
08/10/2018,114620,114640,114600,114620
08/10/2018,114610,114640,114590,114610
08/10/2018,114620,114680,114620,114620
08/10/2018,114630,114680,114610,114650
08/10/2018,114650,114660,114500,114500
08/10/2018,114490,114510,114350,114390
08/10/2018,114370,114460,114370,114430
08/10/2018,114420,114480,114410,114410
08/10/2018,114420,114490,114420,114490
08/10/2018,114490,114510,114480,114510
08/10/2018,114510,114530,114460,114500
08/10/2018,114500,114530,114490,114500
08/10/2018,114500,114510,114460,114500
08/10/2018,114490,114500,114470,114500
08/10/2018,114500,114500,114460,114480
08/10/2018,114490,114490,114440,114480
08/10/2018,114480,114500,114470,114480
08/10/2018,114480,114590,114470,114580
08/10/2018,114580,114600,114490,114530
08/10/2018,114520,114530,114410,114440
08/10/2018,114440,114440,114390,114420
08/10/2018,114430,114440,114360,114420
08/10/2018,114420,114450,114350,114370
08/10/2018,114380,114470,114370,114440
08/10/2018,114440,114460,114410,114420
08/10/2018,114410,114420,114350,114360
08/10/2018,114370,114440,114250,114390
08/10/2018,114390,114460,114370,114450
08/10/2018,114440,114470,114430,114450
08/10/2018,114450,114480,114420,114470
08/10/2018,114440,114460,114420,114440
08/10/2018,114430,114450,114400,114410
08/10/2018,114430,114430,114360,114400
08/10/2018,114410,114420,114360,114380
08/10/2018,114370,114390,114360,114370
08/10/2018,114370,114370,114300,114300
