<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;250605;000000;313.78;318.59;313.53;317.96;28353280
SBER;D;250606;000000;318.35;325.43;312.52;313.13;102005180
SBER;D;250607;000000;314;314.95;313.72;314.65;2022260
SBER;D;250608;000000;314.66;314.88;313.61;314.35;1618500
SBER;D;250609;000000;314.7;315.51;310;311.17;30107660
SBER;D;250610;000000;311.22;313.3;307.55;308.68;27810150
SBER;D;250611;000000;309.45;313.6;308.03;312;26270980
SBER;D;250613;000000;313.29;313.39;309.53;310.2;13401660
SBER;D;250614;000000;310.21;311.17;309.55;310.29;1445960
SBER;D;250615;000000;310.97;311.4;309.74;310.09;1949530
SBER;D;250616;000000;310.2;314.37;309.81;311.5;21320550
SBER;D;250617;000000;311.62;314.93;310.5;313.56;23299910
SBER;D;250618;000000;313.6;314.82;311.63;313.38;17594740
SBER;D;250619;000000;313.5;316.45;312.14;312.46;30296920
SBER;D;250620;000000;312.46;313.59;309.3;309.7;22034460
SBER;D;250623;000000;310.71;311.44;308.04;310.17;15883280
SBER;D;250624;000000;310.31;312.02;309;311.37;18991270
SBER;D;250625;000000;311.6;314.29;311.57;313.78;20227180
SBER;D;250626;000000;313.79;314.5;312.74;312.84;12960060
SBER;D;250627;000000;313.31;315.5;313;315.18;19031620
SBER;D;250628;000000;315.2;315.67;315.11;315.31;890790
SBER;D;250629;000000;315.32;317.5;315.31;315.95;2641730
SBER;D;250630;000000;315.95;317.7;314.6;316.15;26582520
SBER;D;250701;000000;316.64;319.6;316.3;318.42;21878980
SBER;D;250702;000000;318.96;319.85;317.41;319.43;20701250
SBER;D;250703;000000;319.53;321.5;318.74;319.17;20286790
SBER;D;250704;000000;318.85;321.41;317.5;319.44;17811390
SBER;D;250705;000000;319.5;320.6;319.5;319.55;671870
SBER;D;250706;000000;319.65;319.7;319.29;319.37;416040
SBER;D;250707;000000;319.38;319.94;312.82;313.5;29913000
SBER;D;250708;000000;313.34;315.31;309.6;309.71;25532140
SBER;D;250709;000000;310.01;312.3;307.6;310.09;29871070
SBER;D;250710;000000;310.77;315.07;310.5;314.01;23711960
SBER;D;250711;000000;314.5;317.88;308.85;309.88;39276450
SBER;D;250712;000000;310;311;310;310.2;873720
SBER;D;250713;000000;310.5;310.91;308.8;309.44;1066040
SBER;D;250714;000000;308.96;318.85;304.38;317.97;59042270
SBER;D;250715;000000;318.16;320.43;316.6;319.99;40470270
SBER;D;250716;000000;320;322;319.54;321.58;36861670
SBER;D;250717;000000;321.26;329.23;321.19;327.05;91182020
SBER;D;250718;000000;300.45;309.4;300.25;309;115982520
SBER;D;250719;000000;309.69;313.91;309.59;312.42;9029970
SBER;D;250720;000000;313.49;313.78;312.05;312.58;4921320
SBER;D;250721;000000;312.99;314.56;309.31;310.4;44824260
SBER;D;250722;000000;310.65;311.72;308.55;310.67;26942000
SBER;D;250723;000000;311;314.49;310.78;313.08;37399400
SBER;D;250724;000000;313.09;313.99;309.75;310.83;27841890
SBER;D;250725;000000;310.86;311.76;306;308.93;50866870
SBER;D;250726;000000;309.35;309.95;308.86;308.91;1339260
SBER;D;250727;000000;308.86;309.15;308.12;308.83;1768030
SBER;D;250728;000000;309.44;309.45;303.54;303.97;38627240
SBER;D;250729;000000;304.77;308.26;303.05;305.26;30696940
SBER;D;250730;000000;305.58;306.2;303.2;303.3;14499120
SBER;D;250731;000000;303.9;305.79;302.81;304.95;19884770
SBER;D;250801;000000;305.41;307.5;302.89;304.22;25320049
SBER;D;250804;000000;305.3;308.12;304.5;307.95;28420639
SBER;D;250805;000000;307.98;308.67;305.25;307.38;21486455
SBER;D;250806;000000;307.51;312.96;303.33;310.22;59941194
SBER;D;250807;000000;310.23;316.5;308.76;313.43;72068589
SBER;D;250808;000000;314.66;317.98;312.6;317.97;34939213
SBER;D;250811;000000;321.75;322.9;317.05;317.82;42213786
SBER;D;250812;000000;318.16;318.99;316.6;318;18763803
SBER;D;250813;000000;318.32;319.7;317.05;317.51;21125332
SBER;D;250814;000000;317.62;319.2;314.81;318.73;26458386
SBER;D;250815;000000;318.89;320.5;318.45;319.4;26069497
SBER;D;250816;000000;316.86;316.88;310.03;315.17;10296497
SBER;D;250817;000000;315.5;315.8;314.8;314.97;1902692
SBER;D;250818;000000;315.06;319.89;314.3;318.38;35029143
SBER;D;250819;000000;318.98;319.73;316.29;316.5;21834755
SBER;D;250820;000000;316.53;317.51;313.02;314.17;18650993
SBER;D;250821;000000;314.17;315.1;309.28;309.98;30810938
